"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l1_g.10_bias","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable1_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar11_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence1_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.019,0,0.022,0.022,0.004,-0.458,0.007,0.007,0.005,-0.458,0.008,0.008,0.005,-0.458,0.007,0.007,0.995,1,0.995,0.994,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.016,0.019,0.018,0.018,0.006,-0.428,0.008,0.008,0.006,-0.427,0.008,0.008,0.006,-0.429,0.008,0.008,1,0.774,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.011,0.019,0.011,0.011,0.004,-0.434,0.004,0.004,0.004,-0.436,0.004,0.004,0.004,-0.434,0.004,0.004,1,0.785,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.01,0.005,0.011,0.011,0.004,-0.419,0.007,0.007,0.004,-0.418,0.007,0.007,0.005,-0.419,0.007,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.005,0.002,0.006,0.006,0.002,-0.42,0.002,0.002,0.002,-0.421,0.002,0.002,0.002,-0.421,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.002,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.001,0,0,0,-0.001,0,0,0,-0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.031,0.119,0.047,0.047,0.015,0.023,0.032,0.032,0.015,0.026,0.032,0.032,0.015,0.029,0.032,0.032,0.997,0.971,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.015,0.091,0.014,0.014,0.003,-0.007,0.003,0.003,0.003,-0.005,0.002,0.002,0.003,-0.001,0.002,0.002,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.021,0.1,0.023,0.023,0.013,0.008,0.015,0.015,0.012,0.016,0.015,0.015,0.012,0.022,0.015,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.008,0.096,0.018,0.018,0.002,0.005,0.012,0.012,0.002,0.014,0.012,0.012,0.002,0.018,0.012,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.003,0.068,0.008,0.008,-0.001,-0.007,0.004,0.004,-0.001,0.009,0.004,0.004,-0.001,0.014,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.003,0.057,-0.005,-0.005,-0.005,-0.018,-0.007,-0.007,-0.005,-0.003,-0.007,-0.007,-0.005,0.002,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.058,-0.067,0.064,0.064,0.027,-0.999,0.032,0.032,0.027,-0.998,0.033,0.033,0.027,-1,0.033,0.033,0.992,0.992,0.992,0.989,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.034,-0.076,0.04,0.04,0.014,-1.002,0.019,0.019,0.014,-1.002,0.019,0.019,0.014,-1.002,0.019,0.019,0.989,1,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.027,-0.014,0.033,0.032,0.013,-0.994,0.02,0.02,0.013,-0.993,0.02,0.02,0.013,-0.994,0.02,0.02,0.996,0.978,0.993,0.992,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.015,-0.028,0.015,0.015,0.005,-0.997,0.006,0.006,0.005,-0.998,0.006,0.006,0.005,-0.997,0.006,0.006,0.999,0.997,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.013,-0.038,0.012,0.012,0.007,-1,0.005,0.005,0.007,96211224224942.7,0.005,0.005,0.007,-1,0.005,0.005,1,0.742,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,0.008,-0.026,0.007,0.007,0.003,-1.001,0.002,0.002,0.003,62130433075871.3,0.002,0.002,0.003,-1.001,0.002,0.002,1,0.846,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.002,0.005,0.005,0.005,0.002,0.005,0.005,0.005,0.002,0.006,0.005,0.005,0.002,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.002,-0.007,-0.007,-0.007,-0.001,-0.007,-0.007,-0.007,-0.001,-0.006,-0.006,-0.006,-0.001,-0.007,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,0,-0.001,-0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,0,-0.002,-0.001,-0.001,0,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.195,0.036,0.034,0.034,0.177,-0.05,0.017,0.017,0.178,-0.05,0.018,0.018,0.179,-0.05,0.018,0.018,0.989,0.929,0.992,0.991,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.175,0.022,0.012,0.012,0.163,-0.064,0,0,0.164,-0.065,0,0,0.165,-0.064,0,0,0.997,0.921,0.999,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.185,0.033,0.024,0.024,0.178,-0.047,0.015,0.015,0.18,-0.044,0.015,0.015,0.181,-0.043,0.015,0.015,1,0.993,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.174,0.025,0.011,0.011,0.164,-0.056,0.004,0.004,0.169,-0.053,0.004,0.004,0.17,-0.052,0.004,0.004,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.167,0.024,0.013,0.013,0.16,-0.053,0.008,0.008,0.17,-0.048,0.008,0.008,0.172,-0.046,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.16,0.015,0.003,0.003,0.152,-0.062,-0.001,-0.001,0.163,-0.056,-0.001,-0.001,0.165,-0.055,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.43,0.002,0.032,0.031,0.319,-0.711,-0.017,-0.017,0.344,-0.708,-0.017,-0.017,0.368,-0.711,-0.017,-0.017,0.969,0.999,0.981,0.98,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.413,-0.006,0.016,0.016,0.306,-0.712,-0.028,-0.028,0.333,-0.711,-0.028,-0.028,0.356,-0.712,-0.028,-0.028,0.95,1,0.98,0.975,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.371,0.006,0.014,0.014,0.245,-0.699,-0.009,-0.009,0.33,-0.698,-0.008,-0.008,0.354,-0.699,-0.009,-0.009,0.941,1,0.987,0.988,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.363,-0.001,0.002,0.002,0.235,-0.704,-0.021,-0.021,0.322,-0.704,-0.021,-0.021,0.346,-0.704,-0.021,-0.021,0.905,1,0.996,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.287,-0.006,0.003,0.003,0.124,-0.696,-0.01,-0.01,0.317,-0.696,-0.01,-0.01,0.344,-0.696,-0.01,-0.01,0.975,0.962,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.287,-0.005,0,0,0.119,-0.701,-0.012,-0.012,0.318,-0.701,-0.012,-0.012,0.344,-0.701,-0.012,-0.012,0.993,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.155,0.001,0.001,0.001,0.157,0.001,0.001,0.001,0.165,-0.001,0.001,0.001,0.172,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.153,-0.003,-0.003,-0.003,0.154,-0.003,-0.003,-0.003,0.163,-0.001,-0.003,-0.003,0.17,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.138,-0.003,-0.003,-0.003,0.139,-0.003,-0.003,-0.003,0.162,-0.002,-0.002,-0.002,0.17,-0.003,-0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.141,0.001,0.001,0.001,0.141,0.001,0.001,0.001,0.165,0.001,0.001,0.001,0.173,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.113,-0.001,-0.001,-0.001,0.113,-0.001,-0.001,-0.001,0.164,-0.001,-0.001,-0.001,0.173,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.114,0.001,0.001,0.001,0.114,0.001,0.001,0.001,0.165,0,0.001,0.001,0.174,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.551,0.112,0.04,0.04,0.535,-0.112,0.026,0.026,0.536,-0.112,0.026,0.026,0.537,-0.118,0.026,0.026,0.993,0.922,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.54,0.087,0.017,0.018,0.526,-0.128,0.005,0.005,0.528,-0.128,0.005,0.005,0.53,-0.134,0.005,0.005,0.996,0.952,0.997,0.998,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.522,0.035,0.007,0.006,0.514,-0.139,-0.002,-0.002,0.521,-0.137,-0.002,-0.002,0.524,-0.138,-0.002,-0.002,0.997,0.819,0.999,0.998,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.524,0.038,0.007,0.007,0.515,-0.135,0.001,0.001,0.522,-0.133,0.001,0.001,0.525,-0.134,0.001,0.001,1,0.804,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.51,0.063,0.018,0.018,0.502,-0.125,0.014,0.014,0.522,-0.118,0.014,0.014,0.525,-0.114,0.014,0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.509,0.05,0.004,0.004,0.497,-0.139,0.001,0.001,0.52,-0.133,0.001,0.001,0.522,-0.13,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.778,-0.19,0.082,0.082,0.628,-1.186,0.013,0.013,0.651,-1.186,0.013,0.013,0.675,-1.186,0.014,0.014,0.983,0.859,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.729,-0.213,0.041,0.041,0.607,-1.186,-0.013,-0.013,0.628,-1.186,-0.013,-0.013,0.645,-1.186,-0.013,-0.013,0.975,0.823,0.982,0.981,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.689,-0.089,0.038,0.038,0.542,-1.185,0.009,0.009,0.626,24151999057349.4,0.009,0.009,0.649,-1.185,0.009,0.009,0.976,0.813,0.981,0.982,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.665,-0.115,0.011,0.01,0.53,-1.188,-0.014,-0.014,0.607,7410106968455.17,-0.014,-0.014,0.628,-1.188,-0.013,-0.013,0.964,0.719,0.993,0.987,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.586,-0.048,0.013,0.013,0.395,-1.188,-0.001,-0.001,0.609,73863842530451.5,-0.001,-0.001,0.63,-1.188,-0.001,-0.001,0.953,0.869,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,0.578,-0.049,0.008,0.008,0.397,-1.187,-0.005,-0.005,0.607,21307317249531.7,-0.005,-0.005,0.625,-1.187,-0.005,-0.005,0.94,0.915,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.509,0.004,0.004,0.004,0.514,0.004,0.004,0.004,0.528,0.002,0.004,0.004,0.54,0.004,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.505,-0.005,-0.005,-0.005,0.507,-0.005,-0.005,-0.005,0.524,-0.005,-0.005,-0.005,0.535,-0.005,-0.005,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.473,0.003,0.003,0.003,0.474,0.003,0.003,0.003,0.529,0.003,0.003,0.003,0.543,0.003,0.003,0.003,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.469,-0.002,-0.002,-0.002,0.469,-0.002,-0.002,-0.002,0.525,-0.001,-0.002,-0.002,0.539,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.372,0,0.001,0.001,0.372,0,0,0,0.524,0.002,0,0,0.539,0,0,0,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.374,0.001,0.001,0.001,0.374,0.001,0.001,0.001,0.527,0.001,0.001,0.001,0.542,0.001,0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.494,-0.104,0.046,0.047,0.446,-0.247,0.018,0.018,0.466,-0.255,0.019,0.019,0.486,-0.264,0.019,0.019,0.975,0.997,0.984,0.984,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.472,-0.117,0.009,0.01,0.422,-0.261,-0.011,-0.011,0.446,-0.268,-0.011,-0.011,0.466,-0.279,-0.011,-0.011,0.963,0.998,0.961,0.962,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.426,-0.09,0.009,0.01,0.363,-0.249,-0.006,-0.006,0.438,-0.261,-0.006,-0.006,0.461,-0.268,-0.006,-0.006,0.931,0.989,0.974,0.975,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.426,-0.085,0.011,0.012,0.363,-0.246,-0.004,-0.004,0.438,-0.257,-0.004,-0.004,0.464,-0.265,-0.004,-0.004,0.905,1,0.981,0.981,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.349,-0.062,0.005,0.005,0.267,-0.241,-0.005,-0.005,0.425,-0.254,-0.005,-0.005,0.452,-0.26,-0.005,-0.005,0.966,0.671,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,0.347,-0.07,0,0,0.264,-0.245,-0.01,-0.01,0.425,-0.257,-0.01,-0.01,0.451,-0.264,-0.01,-0.01,0.974,0.726,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,0.702,-0.071,0.026,0.026,-0.233,-1,-0.248,-0.248,-0.251,-1,-0.247,-0.247,0.407,-1,-0.245,-0.245,1,0.996,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
